factor,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 1+,,,,,False,Extracellular Matrix Organization (GO:0030198),1.0629698993012378e-08,collagen fibril organization,0.00035993704384410034,,,2,"COL1A2, DCN, COL3A1, LUM, COL1A1, SFRP2, POSTN, SPARC",10.492405,True
DR 2-,,,,,False,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),3.1462032333482857e-11,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,1.1499974694446932e-06,,,2,"C1QC, C1QB, C1QA, CCL3, APOC1, IL1B, APOE, MS4A6A",24.488396,True
DR 15+,,,,,False,T Cell Receptor Signaling Pathway (GO:0050852),3.807306382160642e-14,T cell receptor signaling pathway,0.048325728280992145,,,2,"GNLY, CD3D, CD3E, CD2, NKG7, CD7, ICOS, CD96",22.109095,True
DR 16+,,,,,False,Negative Regulation Of Signal Transduction (GO:0009968),0.040280978431771454,,,NR2F1,4.590938429306586e-05,2,"BPIFB1, TF, FRZB, AKR1C3",0.48114777,True
DR 18-,,,,,False,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),1.0284102973071767e-14,antigen processing and presentation of peptide antigen,4.865771841375251e-11,,,2,"HLA-DRA, CD74, HLA-DRB5, HLA-DQA1, HLA-DPA1, HLA-DRB1, HLA-DPB1, HLA-DQB1",1.6729251,True
DR 22+,,,,,False,Negative Regulation Of Endopeptidase Activity (GO:0010951),0.030392521953946105,,,RUNX2,3.615639771281932e-09,2,"MGP, CLU, SCRG1, SLURP1, RARRES1, TCN1, SLPI, CHI3L1",6.4009395,True
DR 25-,,,,,False,Mitotic Spindle Organization (GO:0007052),1.5248384195717573e-06,kinetochore organization,0.007530938224030259,,,2,"NMU, PTTG1, BIRC5, TROAP, CDKN3, CCNB2, CDC20, CEP55",1.4140471,True
DR 28+,,,,,False,Cholesterol Biosynthetic Process (GO:0006695),0.040175183035406806,,,ZEB2,0.005477545008959092,2,"TM4SF1, TACSTD2, CLDN4, DKK1, EDN1, KRT23, CLDN1, EMP1",2.5382304,True
DR 34-,,,,,False,Defense Response To Symbiont (GO:0140546),5.528028625781434e-26,negative regulation of viral genome replication,3.1322523380312924e-07,,,2,"IFIT1, ISG15, OASL, RSAD2, IFIT3, CMPK2, MX1, IFIT2",4.4741755,True
DR 41-,,,,,False,Intermediate Filament Organization (GO:0045109),1.4966450096817788e-06,,,MBD2,0.00011587245012458011,2,"CST6, KLK6, KLK10, KLK5, SBSN, KLK7, KLK11, CDSN",16.8009,True
DR 43-,,,,,False,Cellular Response To Zinc Ion (GO:0071294),7.108780374957737e-19,detoxification of copper ion,3.887852691118647e-14,,,2,"MT1G, MT1M, MT1E, MT2A, MT1X, MT1F, MT1H, MT1A",14.32973,True
DR 46+,,,,,False,Atrial Septum Morphogenesis (GO:0060413),0.018302844934699886,,,NFIA,0.002218077110161832,2,"ID3, C5orf46, TGFB2",0.17067096,True
DR 48+,,,,,False,Steroid Biosynthetic Process (GO:0006694),0.0033332719467654083,,,SREBF1,3.0180071168191873e-06,2,MSMO1,0.12276877,True
