# convergence | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 25-,DR 25,-,EMT_A_MESENCHYMAL,0.0732,EMT_A_MESENCHYMAL,0.0732,0.5670375558892367,0.24561729,EMT_A_EPITHELIAL,1.0492,0.08928941960649826,False,False,False,False,mesenchymal,epithelial,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 26+,DR 26,+,EMT_C_MESENCHYMAL,0.102,EMT_C_MESENCHYMAL,0.102,0.5633196684728029,0.22393091,EMT_C_EPITHELIAL,0.4676,0.3407218616593573,False,False,False,False,mesenchymal,epithelial,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 26-,DR 26,-,EMT_A_EPITHELIAL,-0.0261,EMT_SCORE_A,-0.0107,0.4366803315271971,-0.22393091,EMT_B_MESENCHYMAL,0.0551,0.8808460273622596,False,False,False,False,epithelial,mesenchymal,neither,False,depth
DR 27+,DR 27,+,EMT_A_MESENCHYMAL,0.0038,EMT_SCORE_A,0.0324,0.4787293529506785,-0.080378324,EMT_B_MESENCHYMAL,-0.0,1.0,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 27-,DR 27,-,EMT_A_EPITHELIAL,0.0466,EMT_A_EPITHELIAL,0.0466,0.5212706470493216,0.080378324,EMT_B_HYBRID,1.6314,0.023366840816727314,False,True,False,False,epithelial,hybrid,factor_only_candidate_patient_or_technical,False,none
DR 28+,DR 28,+,EMT_B_EPITHELIAL,0.0975,EMT_B_EPITHELIAL,0.0975,0.4535049603680328,-0.15951177,EMT_B_EPITHELIAL,1.6314,0.023366840816727314,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,depth
DR 28-,DR 28,-,EMT_A_MESENCHYMAL,0.1342,EMT_SCORE_A,0.1365,0.5464950396319672,0.15951177,EMT_A_MESENCHYMAL,0.4942,0.32047931228494014,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 29+,DR 29,+,EMT_A_MESENCHYMAL,0.1662,EMT_A_MESENCHYMAL,0.1662,0.5954556197464871,0.3758679,EMT_C_HYBRID,1.917,0.012105981335504822,False,True,False,False,mesenchymal,hybrid,factor_only_candidate_patient_or_technical,False,none
DR 29-,DR 29,-,EMT_C_EPITHELIAL,0.0235,EMT_C_EPITHELIAL,0.0235,0.4045443802535129,-0.3758679,EMT_C_EPITHELIAL,0.4676,0.3407218616593573,False,False,False,False,epithelial,epithelial,neither,False,none
DR 30+,DR 30,+,EMT_B_EPITHELIAL,0.0752,EMT_B_EPITHELIAL,0.0752,0.5261182955769774,0.10321622,EMT_A_EPITHELIAL,0.2474,0.5657180034775734,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 30-,DR 30,-,EMT_C_HYBRID,0.0103,EMT_SCORE_B,0.052,0.4738817044230226,-0.10321622,EMT_B_HYBRID,-0.0,1.0,False,False,False,False,hybrid,hybrid,neither,False,none
DR 31+,DR 31,+,EMT_C_EPITHELIAL,0.1213,EMT_C_EPITHELIAL,0.1213,0.5287262792712046,0.29886103,EMT_B_EPITHELIAL,4.1247,7.504123968558002e-05,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,depth
