sub_id,cohort,subcluster,n,median_nullpos,frac_cell_rule,too_small,call
Patient52|epi_s124,Patient52,epi_s124,77,0.3055,0.012987012987012988,False,normal
Patient52|epi_s58,Patient52,epi_s58,92,0.31,0.0,False,normal
Patient52|epi_s85,Patient52,epi_s85,21,0.317,0.0,False,normal
Patient52|epi_s75,Patient52,epi_s75,39,0.322,0.0,False,normal
Patient52|epi_s12,Patient52,epi_s12,70,0.32275,0.014285714285714285,False,normal
Patient52|epi_s132,Patient52,epi_s132,43,0.3265,0.0,False,normal
Patient52|epi_s20,Patient52,epi_s20,77,0.3335,0.012987012987012988,False,normal
Patient52|epi_s38,Patient52,epi_s38,172,0.3505,0.005813953488372093,False,normal
Patient52|epi_s133,Patient52,epi_s133,41,0.355,0.0,False,normal
Patient52|epi_s100,Patient52,epi_s100,60,0.36524999999999996,0.016666666666666666,False,normal
Patient52|epi_s123,Patient52,epi_s123,96,0.36524999999999996,0.0,False,normal
Patient52|epi_s66,Patient52,epi_s66,37,0.371,0.02702702702702703,False,normal
Patient52|epi_s86,Patient52,epi_s86,59,0.371,0.01694915254237288,False,normal
Patient52|epi_s30,Patient52,epi_s30,54,0.37424999999999997,0.0,False,normal
Patient52|epi_s137,Patient52,epi_s137,46,0.3775,0.0,False,normal
Patient52|epi_s45,Patient52,epi_s45,71,0.38,0.028169014084507043,False,normal
Patient52|epi_s95,Patient52,epi_s95,73,0.38,0.0136986301369863,False,normal
Patient52|epi_s36,Patient52,epi_s36,93,0.382,0.053763440860215055,False,normal
Patient52|epi_s115,Patient52,epi_s115,27,0.386,0.0,False,normal
Patient52|epi_s131,Patient52,epi_s131,43,0.3885,0.0,False,normal
Patient52|epi_s122,Patient52,epi_s122,80,0.38975000000000004,0.025,False,normal
Patient52|epi_s111,Patient52,epi_s111,37,0.3925,0.02702702702702703,False,normal
Patient52|epi_s65,Patient52,epi_s65,39,0.393,0.0,False,normal
Patient52|epi_s5,Patient52,epi_s5,110,0.40149999999999997,0.00909090909090909,False,normal
Patient52|epi_s37,Patient52,epi_s37,77,0.404,0.0,False,normal
Patient52|epi_s56,Patient52,epi_s56,72,0.4175,0.013888888888888888,False,normal
Patient52|epi_s68,Patient52,epi_s68,27,0.423,0.0,False,normal
Patient52|epi_s53,Patient52,epi_s53,28,0.4325,0.0,False,normal
Patient52|epi_s120,Patient52,epi_s120,71,0.4335,0.0,False,normal
Patient52|epi_s44,Patient52,epi_s44,37,0.4345,0.0,False,normal
Patient52|epi_s128,Patient52,epi_s128,28,0.44125000000000003,0.0,False,normal
Patient52|epi_s43,Patient52,epi_s43,76,0.44125000000000003,0.0,False,normal
Patient52|epi_s17,Patient52,epi_s17,109,0.4435,0.01834862385321101,False,normal
Patient52|epi_s129,Patient52,epi_s129,37,0.4445,0.0,False,normal
Patient52|epi_s150,Patient52,epi_s150,1,0.456,0.0,True,undecided
Patient52|epi_s60,Patient52,epi_s60,99,0.464,0.010101010101010102,False,normal
Patient52|epi_s96,Patient52,epi_s96,1,0.478,0.0,True,undecided
Patient52|epi_s83,Patient52,epi_s83,37,0.482,0.02702702702702703,False,normal
