# convergence | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 32+,DR 32,+,IMMUNOGENIC_CONSENSUS,0.1634,IMMUNOGENIC_CONSENSUS,0.1634,0.3952740096916393,-0.32568353,KEGG_APM,0.7284,0.1868959971651491,False,False,False,False,immune,immune,neither,False,none
DR 32-,DR 32,-,LIM_STEM,0.0979,LIM_STEM,0.0979,0.6047259903083607,0.32568353,ESC_ASSOU,2.6188,0.0024054703049880967,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 33+,DR 33,+,ESC_WONG,0.0276,CytoTRACE2,0.0527,0.5088281185757609,0.094568394,ISDS,1.0117,0.09734194058907295,False,False,False,False,stemness,immune,neither,False,"depth,cell_cycle"
DR 33-,DR 33,-,KEGG_APM,0.0653,KEGG_APM,0.0653,0.49117188142423907,-0.094568394,KEGG_APM,0.0628,0.8653663429563481,False,False,False,False,immune,immune,neither,False,depth
DR 34+,DR 34,+,ESC_WONG,0.0734,ESC_WONG,0.0734,0.5257917476785738,0.17466109,ESC_ASSOU,1.4348,0.03674514791999399,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 34-,DR 34,-,KEGG_APM,0.0767,KEGG_APM,0.0767,0.47420825232142616,-0.17466109,ISDS,1.0117,0.09734194058907295,False,False,False,False,immune,immune,neither,False,depth
DR 35+,DR 35,+,FMASC,0.115,FMASC,0.115,0.5298462023004431,0.028510615,ESC_ASSOU,1.6979,0.020049336272477257,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 35-,DR 35,-,ISDS,-0.0337,ISDS,-0.0337,0.4701537976995569,-0.028510615,HALLMARK_IFNA,2.6645,0.0021652098793079285,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,immune_low_is_absence_of_signal
DR 36+,DR 36,+,FMASC,0.054,FMASC,0.054,0.6209620171700627,0.34270617,ESC_ASSOU,1.6979,0.020049336272477257,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 36-,DR 36,-,ISDS,0.5122,ISDS,0.5122,0.3790379828299373,-0.34270617,HALLMARK_IFNA,33.7738,1.683449139567061e-34,True,True,False,True,immune,immune,convergent,False,none
DR 37+,DR 37,+,LIM_STEM,0.1989,LIM_STEM,0.1989,0.5533046234410056,0.21854727,LIM_STEM,9.626,2.365919697485761e-10,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,none
DR 37-,DR 37,-,ISDS,0.0551,ISDS,0.0551,0.4466953765589944,-0.21854727,HALLMARK_IFNA,0.9733,0.10634081880996964,False,False,False,False,immune,immune,neither,False,none
DR 38+,DR 38,+,ESC_WONG,0.0598,ESC_WONG,0.0598,0.609763614770861,0.3517548,ESC_ASSOU,1.6979,0.020049336272477257,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 38-,DR 38,-,KEGG_APM,0.222,KEGG_APM,0.222,0.39023638522913895,-0.3517548,KEGG_APM,5.0605,8.699614330652673e-06,True,True,True,True,immune,immune,convergent,False,depth
DR 39+,DR 39,+,FMASC,0.0945,FMASC,0.0945,0.5077384286305174,0.03896786,HALLMARK_IFNG,0.447,0.3572728381519289,False,False,False,False,stemness,immune,neither,False,none
