dim_title_direction,n_active,fraction_active,max_ood_score,cohesion,is_candidate,rarity_score,cohesion_score,interpretability_score,score
DR 12+,822,0.011042301957254738,12.244871139526367,0.09303422907946389,False,0.17684096131778518,0.09303422907946389,0.7947962529613936,0.013076196592403845
DR 28+,1010,0.01356779194261227,1.8656920194625854,0.14606333839880906,False,0.15158043003674154,0.14606333839880906,0.5844824632572265,0.012940642592214741
DR 27-,786,0.01055869749197351,1.8579967021942139,0.1208124347774771,False,0.18233343050123266,0.1208124347774771,0.5840204514842376,0.012864887585501517
DR 16+,1769,0.023763786085624856,0.11188878864049911,0.4563520757394226,False,0.08284250965944641,0.4563520757394226,0.2699430054739803,0.010205290137413838
DR 9-,2924,0.03927942934673097,1.3589706420898438,0.09718532941997655,False,0.021208897967853815,0.09718532941997655,0.5490584562656615,0.0011317158505552494
DR 27+,5,6.71672868446152e-05,0.009999999776482582,0.3388337385923943,False,0.8026110536405997,0.3388337385923943,0.0,0.0
DR 38+,6,8.060074421353824e-05,0.009999999776482582,0.23112870089319942,False,0.7802502904722115,0.23112870089319942,0.0,0.0
DR 23+,3,4.030037210676912e-05,0.009999999776482582,0.4504761436913779,False,0.8652610824920116,0.4504761436913779,0.0,0.0
DR 19-,6,8.060074421353824e-05,0.009999999776482582,0.12368312255627631,False,0.7802502904722115,0.12368312255627631,0.0,0.0
DR 16-,44,0.0005910721242326138,0.009999999776482582,0.22455708720947262,False,0.5358893941217039,0.22455708720947262,0.0,0.0
DR 1-,3476,0.04669469781437648,4.084630966186523,0.2086116635604004,False,0.0,0.2086116635604004,0.6720742392907456,0.0
DR 9+,22,0.0002955360621163069,0.009999999776482582,0.5505529347868754,False,0.6209001861415041,0.5505529347868754,0.0,0.0
