# signature_gene_contribution | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
EMT_B_MESENCHYMAL,mesenchymal,SNAI1,0.039038,0.0259,0.004507,0.004747,0.082308,23
EMT_B_MESENCHYMAL,mesenchymal,ADAM12,0.018404,0.013035,0.002268,0.0046,0.12272,24
EMT_B_MESENCHYMAL,mesenchymal,MMP9,0.010478,0.011193,0.001948,0.00417,0.063582,25
EMT_B_MESENCHYMAL,mesenchymal,E2F1,0.0304,0.017581,0.003059,0.003551,0.076936,26
EMT_B_MESENCHYMAL,mesenchymal,TWIST1,0.007456,0.005407,0.000941,0.003087,0.067391,27
EMT_B_MESENCHYMAL,mesenchymal,MMP3,0.005857,0.006578,0.001145,0.002424,0.069137,28
EMT_B_MESENCHYMAL,mesenchymal,GSC,0.025336,0.013515,0.002352,0.001336,0.025864,29
EMT_B_MESENCHYMAL,mesenchymal,CDH2,0.009229,0.006672,0.001161,0.001092,0.04422,30
EMT_B_MESENCHYMAL,mesenchymal,FOXC2,0.00845,0.004224,0.000735,0.000979,0.055561,31
EMT_B_MESENCHYMAL,mesenchymal,ADAM19,0.004406,0.002943,0.000512,0.000524,0.022156,32
EMT_B_MESENCHYMAL,mesenchymal,ITGB3,0.0009,0.000491,8.5e-05,0.000158,0.025792,33
EMT_C_EPITHELIAL,epithelial,KRT19,0.758131,1.827193,0.192131,0.160723,0.530591,1
EMT_C_EPITHELIAL,epithelial,KRT18,0.683373,1.304822,0.137203,0.135029,0.576581,2
EMT_C_EPITHELIAL,epithelial,CD24,0.729249,1.486312,0.156287,0.130662,0.499057,3
EMT_C_EPITHELIAL,epithelial,KRT8,0.651939,1.13047,0.11887,0.129365,0.582302,4
EMT_C_EPITHELIAL,epithelial,CLDN3,0.373867,0.471166,0.049544,0.070259,0.436588,5
EMT_C_EPITHELIAL,epithelial,DSP,0.434975,0.531795,0.055919,0.062426,0.414973,6
EMT_C_EPITHELIAL,epithelial,EPCAM,0.484478,0.61558,0.064729,0.057273,0.333867,7
EMT_C_EPITHELIAL,epithelial,GATA3,0.324002,0.36871,0.03877,0.045323,0.367008,8
EMT_C_EPITHELIAL,epithelial,CDH1,0.245429,0.219233,0.023053,0.030188,0.345373,9
EMT_C_EPITHELIAL,epithelial,SDC1,0.203181,0.185361,0.019491,0.028362,0.283833,10
EMT_C_EPITHELIAL,epithelial,KLF4,0.245308,0.237527,0.024976,0.024609,0.239085,11
EMT_C_EPITHELIAL,epithelial,ITGB4,0.163606,0.138166,0.014528,0.01925,0.227357,12
EMT_C_EPITHELIAL,epithelial,KLF5,0.167408,0.132456,0.013928,0.015605,0.21522,13
EMT_C_EPITHELIAL,epithelial,ESRP1,0.17446,0.131733,0.013852,0.013238,0.210812,14
EMT_C_EPITHELIAL,epithelial,LAMC2,0.087546,0.072476,0.007621,0.012806,0.185156,15
EMT_C_EPITHELIAL,epithelial,FOXA1,0.114144,0.096281,0.010124,0.012737,0.242531,16
EMT_C_EPITHELIAL,epithelial,TJP1,0.167112,0.116657,0.012267,0.012113,0.192829,17
EMT_C_EPITHELIAL,epithelial,OCLN,0.104942,0.073331,0.007711,0.010208,0.229298,18
EMT_C_EPITHELIAL,epithelial,ITGA6,0.182628,0.156229,0.016428,0.008724,0.07772,19
EMT_C_EPITHELIAL,epithelial,OVOL1,0.065958,0.04477,0.004708,0.006882,0.201664,20
EMT_C_EPITHELIAL,epithelial,LAMC1,0.073333,0.049437,0.005198,0.005541,0.129426,21
EMT_C_EPITHELIAL,epithelial,GRHL2,0.07418,0.049093,0.005162,0.005063,0.149006,22
EMT_C_EPITHELIAL,epithelial,OVOL2,0.04159,0.024369,0.002562,0.003306,0.134368,23
EMT_C_EPITHELIAL,epithelial,GRHL3,0.013178,0.008064,0.000848,0.001326,0.090493,24
EMT_C_EPITHELIAL,epithelial,TJP2,0.015892,0.009927,0.001044,0.000902,0.06036,25
EMT_C_EPITHELIAL,epithelial,NOTCH4,0.015798,0.009949,0.001046,0.000417,0.018802,26
EMT_C_EPITHELIAL,epithelial,FOXA2,8.1e-05,1.4e-05,2e-06,3e-06,0.008625,27
EMT_C_EPITHELIAL,epithelial,GATA4,0.000793,0.000315,3.3e-05,-2.9e-05,-0.0179,28
EMT_C_EPITHELIAL,epithelial,NID1,0.026464,0.018704,0.001967,-0.002313,-0.145148,29
EMT_C_HYBRID,hybrid,YBX1,0.702315,1.34127,0.246891,0.156531,0.398359,1
EMT_C_HYBRID,hybrid,CD24,0.729249,1.486312,0.273589,0.146646,0.408955,2
EMT_C_HYBRID,hybrid,CD44,0.375922,0.442847,0.081516,0.103128,0.33272,3
EMT_C_HYBRID,hybrid,LAMB3,0.130936,0.145285,0.026743,0.073961,0.340038,4
EMT_C_HYBRID,hybrid,SPARC,0.189909,0.279248,0.051402,0.063791,0.323202,5
EMT_C_HYBRID,hybrid,CDH3,0.165917,0.152255,0.028026,0.061276,0.378011,6
EMT_C_HYBRID,hybrid,ACTA2,0.132118,0.182277,0.033552,0.049984,0.277753,7
EMT_C_HYBRID,hybrid,TNC,0.127188,0.115674,0.021292,0.048512,0.327277,8
EMT_C_HYBRID,hybrid,NFE2L2,0.309964,0.271252,0.04993,0.04441,0.224385,9
EMT_C_HYBRID,hybrid,ITGB4,0.163606,0.138166,0.025433,0.040274,0.285099,10
EMT_C_HYBRID,hybrid,LAMC2,0.087546,0.072476,0.013341,0.038376,0.297816,11
EMT_C_HYBRID,hybrid,TGFBI,0.078317,0.079414,0.014618,0.03599,0.276655,12
EMT_C_HYBRID,hybrid,PROM1,0.114789,0.099717,0.018355,0.01753,0.182797,13
EMT_C_HYBRID,hybrid,ITGAV,0.154418,0.113077,0.020814,0.017155,0.12899,14
EMT_C_HYBRID,hybrid,JAG1,0.106272,0.072853,0.01341,0.016202,0.138881,15
EMT_C_HYBRID,hybrid,ITGA3,0.072339,0.047502,0.008744,0.012251,0.126938,16
EMT_C_HYBRID,hybrid,BMI1,0.116361,0.079303,0.014598,0.008693,0.053457,17
EMT_C_HYBRID,hybrid,MTOR,0.078492,0.046541,0.008567,0.008052,0.09592,18
EMT_C_HYBRID,hybrid,CSF1,0.050684,0.031838,0.00586,0.007708,0.124855,19
EMT_C_HYBRID,hybrid,ITGA5,0.028828,0.020493,0.003772,0.007642,0.109663,20
EMT_C_HYBRID,hybrid,SNAI2,0.027713,0.021118,0.003887,0.006957,0.148571,21
EMT_C_HYBRID,hybrid,COL5A2,0.020929,0.023698,0.004362,0.006614,0.118621,22
EMT_C_HYBRID,hybrid,TGFB2,0.038661,0.02475,0.004556,0.005977,0.099592,23
EMT_C_HYBRID,hybrid,VCAM1,0.017302,0.01701,0.003131,0.004942,0.107274,24
EMT_C_HYBRID,hybrid,DEPTOR,0.083073,0.058388,0.010748,0.00487,0.049479,25
EMT_C_HYBRID,hybrid,NEO1,0.056421,0.031925,0.005877,0.004093,0.053942,26
EMT_C_HYBRID,hybrid,PDPN,0.014293,0.012616,0.002322,0.003865,0.112775,27
EMT_C_HYBRID,hybrid,PRRX2,0.016174,0.009191,0.001692,0.001856,0.048329,28
EMT_C_HYBRID,hybrid,HOTAIR,0.014522,0.007989,0.001471,0.000784,0.010167,29
EMT_C_HYBRID,hybrid,SERPINB2,0.002633,0.002167,0.000399,0.000676,0.044927,30
EMT_C_HYBRID,hybrid,FOXC2,0.00845,0.004224,0.000778,0.000623,0.016304,31
EMT_C_HYBRID,hybrid,MMP10,0.001343,0.000995,0.000183,0.00042,0.022403,32
EMT_C_HYBRID,hybrid,WT1,0.001612,0.000777,0.000143,0.00021,0.015942,33
EMT_C_MESENCHYMAL,mesenchymal,VIM,0.586035,1.284394,0.183361,0.209537,0.59756,1
EMT_C_MESENCHYMAL,mesenchymal,FN1,0.207413,0.337602,0.048196,0.099001,0.381211,2
EMT_C_MESENCHYMAL,mesenchymal,SUMO2,0.781881,1.544733,0.220528,0.097423,0.298058,3
EMT_C_MESENCHYMAL,mesenchymal,CD44,0.375922,0.442847,0.063221,0.067984,0.29225,4
EMT_C_MESENCHYMAL,mesenchymal,ITGB1,0.427036,0.486936,0.069515,0.066462,0.320103,5
EMT_C_MESENCHYMAL,mesenchymal,SPARC,0.189909,0.279248,0.039866,0.066236,0.366375,6
