factor,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
DR 37+,GO:BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,6.0681332396245725e-05,True,"""An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus."" [GOC:add, GOC:mtg_sensu, ISBN:0781735149, ISBN:1405196831]",123,82,41,1889,0.5,0.3333333333333333,query_1,['GO:0002250']
DR 37+,GO:BP,GO:0002443,leukocyte mediated immunity,0.04316166187057834,True,"""Any process involved in the carrying out of an immune response by a leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",131,80,40,1889,0.5,0.3053435114503817,query_1,['GO:0002252']
DR 38-,GO:BP,GO:0045071,negative regulation of viral genome replication,2.4780141666813135e-08,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of viral genome replication."" [GOC:go_curators]",21,27,12,1889,0.4444444444444444,0.5714285714285714,query_1,"['GO:0019079', 'GO:0045069', 'GO:0048525']"
DR 38-,GO:BP,GO:0048525,negative regulation of viral process,3.192836779731981e-06,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a multi-organism process in which a virus is a participant."" [GOC:bf, GOC:jl]",25,21,11,1889,0.5238095238095238,0.44,query_1,"['GO:0016032', 'GO:0048519', 'GO:0050792']"
DR 38-,GO:BP,GO:0045069,regulation of viral genome replication,5.677697721454718e-06,True,"""Any process that modulates the frequency, rate or extent of viral genome replication."" [GOC:ai]",23,21,11,1889,0.5238095238095238,0.4782608695652174,query_1,"['GO:0019079', 'GO:1903900']"
DR 38-,GO:BP,GO:0051607,defense response to virus,9.2923208723122e-06,True,"""Reactions triggered in response to the presence of a virus that act to protect the cell or organism."" [GOC:ai]",58,21,17,1889,0.8095238095238095,0.29310344827586204,query_1,"['GO:0006952', 'GO:0009615']"
DR 38-,GO:BP,GO:1903900,regulation of viral life cycle,1.513889614106697e-05,True,"""Any process that modulates the frequency, rate or extent of viral life cycle."" [GO_REF:0000058, GOC:TermGenie, PMID:18005716]",29,21,12,1889,0.5714285714285714,0.41379310344827586,query_1,"['GO:0019058', 'GO:0050792']"
DR 38-,GO:BP,GO:0009615,response to virus,0.00016487044551352162,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a virus."" [GOC:hb]",75,22,18,1889,0.8181818181818182,0.24,query_1,['GO:0051707']
DR 38-,GO:BP,GO:0050792,regulation of viral process,0.00016952969140818878,True,"""Any process that modulates the rate or extent of the viral life cycle, the set of processes by which a virus reproduces and spreads among hosts."" [GOC:go_curators, GOC:tb]",33,21,12,1889,0.5714285714285714,0.36363636363636365,query_1,"['GO:0016032', 'GO:0050789']"
DR 38-,GO:BP,GO:0019079,viral genome replication,0.0002802140803942533,True,"""Any process involved directly in viral genome replication, including viral nucleotide metabolism."" [ISBN:0781702534]",26,21,11,1889,0.5238095238095238,0.4230769230769231,query_1,"['GO:0016032', 'GO:0019058']"
DR 38-,GO:BP,GO:0034340,response to type I interferon,0.003230511620964436,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a type I interferon stimulus. Type I interferons include the interferon-alpha, beta, delta, episilon, zeta, kappa, tau, and omega gene families."" [GOC:add, ISBN:0126896631, PMID:15546383, PMID:16681834]",13,19,9,1889,0.47368421052631576,0.6923076923076923,query_1,"['GO:0034097', 'GO:0045087']"
DR 38-,GO:BP,GO:0140374,antiviral innate immune response,0.018488694539860157,True,"""A defense response against viruses mediated through an innate immune response. An innate immune response is mediated by germline encoded components that directly recognize components of potential pathogens."" [PMID:31006531]",10,16,7,1889,0.4375,0.7,query_1,"['GO:0045087', 'GO:0051607']"
DR 38-,GO:BP,GO:0071357,cellular response to type I interferon,0.03348621141567713,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a type I interferon stimulus. Type I interferons include the interferon-alpha, beta, delta, episilon, zeta, kappa, tau, and omega gene families."" [GOC:mah]",12,19,8,1889,0.42105263157894735,0.6666666666666666,query_1,"['GO:0034340', 'GO:0071345']"
DR 39+,GO:BP,GO:0090131,mesenchyme migration,0.008894230441125552,True,"""The process in which the population of cells that make up a mesenchyme undergo directed movement."" [GOC:ascb_2009, GOC:dph, GOC:tb]",3,6,3,1889,0.5,1.0,query_1,"['GO:0072132', 'GO:0090130']"
DR 47-,GO:BP,GO:0042026,protein refolding,2.0245444289711107e-05,True,"""The process carried out by a cell that restores the biological activity of an unfolded or misfolded protein, using helper proteins such as chaperones."" [GOC:mb]",7,5,5,1889,1.0,0.7142857142857143,query_1,['GO:0006457']
DR 47-,GO:BP,GO:0009408,response to heat,0.01616175385340491,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:lr]",14,5,5,1889,1.0,0.35714285714285715,query_1,"['GO:0006950', 'GO:0009266']"
DR 50-,GO:BP,GO:0010273,detoxification of copper ion,3.789973134192653e-14,True,"""Any process that reduces or removes the toxicity of copper ion. These include transport of copper away from sensitive areas and to compartments or complexes whose purpose is sequestration of copper ion."" [GOC:kmv, PMID:16367966]",8,8,8,1889,1.0,1.0,query_1,"['GO:0061687', 'GO:1990169']"
DR 50-,GO:BP,GO:1990169,stress response to copper ion,3.789973134192653e-14,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis caused by a copper ion stimulus."" [GOC:kmv, PMID:23437011]",8,8,8,1889,1.0,1.0,query_1,"['GO:0046688', 'GO:0097501']"
DR 50-,GO:BP,GO:0097501,stress response to metal ion,9.538919394890182e-13,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis caused by a metal ion stimulus."" [GOC:kmv]",10,8,8,1889,1.0,0.8,query_1,"['GO:0006950', 'GO:0010038']"
DR 50-,GO:BP,GO:0061687,detoxification of inorganic compound,2.568170606316573e-12,True,"""Any process that reduces or removes the toxicity of inorganic compounds. These include transport of such compounds away from sensitive areas and to compartments or complexes whose purpose is sequestration of inorganic compounds."" [GOC:vw]",10,8,8,1889,1.0,0.8,query_1,['GO:0098754']
DR 50-,GO:BP,GO:0071276,cellular response to cadmium ion,6.188068222839026e-12,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cadmium (Cd) ion stimulus."" [GOC:mah]",12,8,8,1889,1.0,0.6666666666666666,query_1,"['GO:0046686', 'GO:0071248']"
DR 50-,GO:BP,GO:0071294,cellular response to zinc ion,6.188068222839026e-12,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a zinc ion stimulus."" [GOC:mah]",8,8,8,1889,1.0,1.0,query_1,"['GO:0010043', 'GO:0071248']"
