factor,smi_cell_type,smi_cell_type_value,smi_cnv_status,smi_cnv_status_value,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 12+,,,,,26,0.787,,,True,Regulation Of Intracellular Protein Transport (GO:0033157),0.007874841236500802,,,,,1,IFI27,0.1432923,True
DR 15-,,,,,,,Lumsec-KIT,0.508,True,,,,,GLI3,0.0034106478876118674,1,"ANKRD36C, KCNQ1OT1, NEAT1, VMP1, MACC1, LINC01285, DLGAP1, NABP1",2.4654305,True
DR 22-,,,,,19,0.479,CD8-Tem,0.825,True,T Cell Activation (GO:0042110),1.7126136839184625e-09,,,,,1,"MS4A1, CD69, GZMK, IFNG, PTPRC, NKG7, CD8B, CXCR4",36.21525,True
DR 30+,,,,,,,CD8-Tem,0.516,True,Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),0.01413292057221457,,,,,1,"TRBV6-6, GNLY, GZMB, CTSW, CST7, CD7, CCL5, S100A4",0.28678766,True
DR 40-,,,,,19,0.751,,,True,Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.014876658397297075,,,,,1,"HIST3H2A, PDGFA, CKS1B, CPE, S100A6, PCOLCE, CAV1, BIRC5",1.9423932,True
DR 3+,,,,,23,0.629,,,True,,,,,,,0,"PRR27, CSN3, SERHL2, TBX10, APOD, ALOX15B, DDC, FDCSP",2.5225506,True
DR 6-,,,,,2,0.615,Lumsec-myo,0.527,True,,,,,,,0,"CSN1S1, SCGB3A1, SNORC, PIGR, CCL28, KIT, FAM3D, KRT15",7.9155493,True
DR 12-,,,,,17,0.401,,,True,,,,,,,0,,3.044338e-05,False
DR 16+,,,,,,,mDC,0.424,True,,,,,,,0,,0.0011354513,False
DR 17+,,,,,,,Lumsec-HLA,0.531,True,,,,,,,0,,1.5845095e-05,False
DR 22+,,,,,5,0.478,,,True,,,,,,,0,,0.00011078106,False
DR 29-,,,,,,,Lumsec-HLA,0.568,True,,,,,,,0,,0.00033491597,False
DR 40+,,,,,5,0.639,,,True,,,,,,,0,,3.6102974e-05,False
DR 49+,,,,,23,0.609,,,True,,,,,,,0,,0.00021245815,False
DR 51-,,,,,,,Lumsec-HLA,0.5,True,,,,,,,0,,0.00012709919,False
DR 63+,,,,,,,Macro-IFN,0.437,True,,,,,,,0,,2.0641433e-05,False
DR 63-,,,,,1,0.495,,,True,,,,,,,0,"SCGB1D2, SCGB2A2, SCGB2A1, SCGB1B2P, SCGB3A1, CYP4X1, CRISP3, PIP",16.25462,True
