# factor_first_hallmark_significant | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 10-,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,21/114,0.0033285202977414,0.0521468179979486,2.1873743166549984,12.479467948383208,-,DR 10,0.03648387614650897,True
DR 10-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,19/93,0.001497712048809,0.0379538125892771,2.48982195351933,16.193345442284368,-,DR 10,0.02013260537022133,True
DR 10-,hallmark,gs_ind_0,p53 Pathway,11/41,0.0016150558548628,0.0379538125892771,3.5227734763614342,22.64574677312221,-,DR 10,0.02058124275223391,True
DR 11+,hallmark,gs_ind_0,Androgen Response,9/25,0.0004113385210392,0.0176875564046886,5.36521876730754,41.82775000316536,+,DR 11,0.007644597061781674,True
DR 11+,hallmark,gs_ind_0,Estrogen Response Early,12/49,0.0023514429884335,0.0252780121256603,3.118479221927498,18.87530058397867,+,DR 11,0.028004263194580412,True
DR 11+,hallmark,gs_ind_0,Hypoxia,14/61,0.0020198954677119,0.0252780121256603,2.87012840412022,17.80831302567982,+,DR 11,0.025020640632302242,True
DR 11+,hallmark,gs_ind_0,p53 Pathway,11/41,0.0016150558548628,0.0252780121256603,3.5227734763614342,22.64574677312221,+,DR 11,0.02058124275223391,True
DR 11-,hallmark,gs_ind_0,E2F Targets,46/53,5.365246407738021e-41,2.3607084194047288e-39,71.97216828478965,6673.694623727466,-,DR 11,1.5451909654285498e-37,True
DR 11-,hallmark,gs_ind_0,G2-M Checkpoint,44/49,1.2273427746554607e-40,2.7001541042420134e-39,92.82573337205925,8530.550506867943,-,DR 11,2.8277977528061816e-37,True
DR 11-,hallmark,gs_ind_0,Glycolysis,11/40,0.0012931995232216,0.0094834631702919,3.644246679486606,24.23655772505855,-,DR 11,0.017714219390621677,True
DR 11-,hallmark,gs_ind_0,Mitotic Spindle,26/36,2.250923846055848e-19,3.3013549742152447e-18,25.89616591622322,1111.9237723199103,-,DR 11,7.857770517140416e-17,True
DR 11-,hallmark,gs_ind_0,Myc Targets V1,7/12,4.627517030017547e-05,0.0004072214986415,12.653276955602538,126.29115547720689,-,DR 11,0.001322803875578217,True
DR 11-,hallmark,gs_ind_0,Spermatogenesis,10/23,2.867723661895513e-05,0.0003154496028085,7.298046077573637,76.33323349352811,-,DR 11,0.0008880692630386103,True
DR 11-,hallmark,gs_ind_0,mTORC1 Signaling,12/48,0.0019435823265115,0.0122168031952153,3.2057338032774974,20.014109245003937,-,DR 11,0.024550513598040002,True
DR 12+,hallmark,gs_ind_0,Adipogenesis,10/27,0.0001474075932386,0.002668018425917,5.61732283464567,49.55775816527788,+,DR 12,0.003310205602551017,True
DR 12+,hallmark,gs_ind_0,Coagulation,15/52,9.339735255686136e-05,0.002668018425917,3.9294519317160823,36.45999957185866,+,DR 12,0.002328869050768491,True
DR 12+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,24/114,0.0002163258183176,0.002668018425917,2.623589438592647,22.139749440613247,+,DR 12,0.004572611792694958,True
DR 12+,hallmark,gs_ind_0,Myogenesis,12/47,0.0015956830393014,0.0147600681135381,3.2979041356894685,21.23999789238365,+,DR 12,0.02058124275223391,True
DR 12-,hallmark,gs_ind_0,DNA Repair,6/11,0.000279598778089,0.0055111409146216,10.909792007478384,89.26560832643746,-,DR 12,0.005631080285988252,True
DR 12-,hallmark,gs_ind_0,E2F Targets,13/53,0.0015283486442989,0.0080639353773765,3.129777777777778,20.292125306679296,-,DR 12,0.02049659648698874,True
DR 12-,hallmark,gs_ind_0,Estrogen Response Early,13/49,0.000686011952252,0.0055111409146216,3.4806575342465758,25.35525184951136,-,DR 12,0.01099145714873858,True
DR 12-,hallmark,gs_ind_0,Estrogen Response Late,14/64,0.0032686442862646,0.0150357637168171,2.695007034215486,15.42454928240058,-,DR 12,0.03599883573400401,True
DR 12-,hallmark,gs_ind_0,Glycolysis,14/40,1.4139101995007215e-05,0.0006503986917703,5.206181395113561,58.13517027878158,-,DR 12,0.0004876720209056381,True
DR 12-,hallmark,gs_ind_0,Myc Targets V1,5/12,0.004192769000148,0.0175333976369827,6.727536231884058,36.82918333740776,-,DR 12,0.04236903410675874,True
DR 12-,hallmark,gs_ind_0,Reactive Oxygen Species Pathway,5/10,0.001577726486878,0.0080639353773765,9.184143222506394,59.25398339743649,-,DR 12,0.02058124275223391,True
DR 12-,hallmark,gs_ind_0,UV Response Up,10/32,0.0007188444671245,0.0055111409146216,4.356780402449694,31.53379074881248,-,DR 12,0.011422190705205847,True
DR 12-,hallmark,gs_ind_0,Unfolded Protein Response,6/13,0.0008738731352655,0.005742594888888,7.991602399314481,56.281462040462216,-,DR 12,0.013159501331056941,True
DR 12-,hallmark,gs_ind_0,mTORC1 Signaling,13/48,0.000551985177671,0.0055111409146216,3.5807323943661973,26.86261633819781,-,DR 12,0.009310203875212184,True
DR 12-,hallmark,gs_ind_0,p53 Pathway,12/41,0.0004154095278364,0.0055111409146216,3.98215168817156,31.00601149959369,-,DR 12,0.007644597061781674,True
DR 13+,hallmark,gs_ind_0,Androgen Response,9/25,0.0004113385210392,0.0126956590864352,5.36521876730754,41.82775000316536,+,DR 13,0.007644597061781674,True
DR 13+,hallmark,gs_ind_0,Cholesterol Homeostasis,6/17,0.0044709330808132,0.0397949246102894,5.200290600201185,28.13439456903835,+,DR 13,0.044362746848379035,True
DR 13+,hallmark,gs_ind_0,Fatty Acid Metabolism,8/25,0.0020982848997303,0.0241302763468988,4.500111317254175,27.75054387349284,+,DR 13,0.02557909211099794,True
DR 13+,hallmark,gs_ind_0,Myogenesis,11/47,0.0051906423404725,0.0397949246102894,2.9337116420284093,15.43395719507859,+,DR 13,0.048853104380917646,True
DR 13+,hallmark,gs_ind_0,mTORC1 Signaling,13/48,0.000551985177671,0.0126956590864352,3.5807323943661973,26.86261633819781,+,DR 13,0.009310203875212184,True
DR 13+,hallmark,gs_ind_0,p53 Pathway,11/41,0.0016150558548628,0.0241302763468988,3.5227734763614342,22.64574677312221,+,DR 13,0.02058124275223391,True
DR 13-,hallmark,gs_ind_0,Coagulation,17/52,4.7591318729396665e-06,0.0002046426705364,4.742871397321257,58.12600090835123,-,DR 13,0.00021250077200102698,True
DR 13-,hallmark,gs_ind_0,Complement,16/66,0.0005056385251259,0.0054356141451042,3.099975851243661,23.52785113414149,-,DR 13,0.008746179894069622,True
