# signature_gene_contribution | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP12_EMT_1,emt,A2M,0.142677,0.171938,0.011424,0.020742,0.350805,20
MP12_EMT_1,emt,IGFBP4,0.38198,0.589656,0.039177,0.019617,0.168928,21
MP12_EMT_1,emt,DCN,0.080023,0.132566,0.008808,0.019457,0.283887,22
MP12_EMT_1,emt,BGN,0.118214,0.157789,0.010484,0.019172,0.268484,23
MP12_EMT_1,emt,LUM,0.074193,0.117908,0.007834,0.018759,0.26189,24
MP12_EMT_1,emt,COL6A2,0.144772,0.14418,0.009579,0.017068,0.262557,25
MP12_EMT_1,emt,TIMP3,0.109026,0.117041,0.007776,0.015013,0.279076,26
MP12_EMT_1,emt,COL6A1,0.126086,0.113812,0.007562,0.013815,0.240453,27
MP12_EMT_1,emt,POSTN,0.053788,0.073543,0.004886,0.013593,0.244284,28
MP12_EMT_1,emt,FBLN1,0.162209,0.153785,0.010218,0.013522,0.247802,29
MP12_EMT_1,emt,IGFBP5,0.198842,0.310055,0.0206,0.012817,0.157742,30
MP12_EMT_1,emt,SPARCL1,0.092919,0.117132,0.007782,0.012661,0.227692,31
MP12_EMT_1,emt,RARRES2,0.100697,0.112265,0.007459,0.012054,0.178055,32
MP12_EMT_1,emt,ID3,0.198103,0.223103,0.014823,0.011307,0.108137,33
MP12_EMT_1,emt,CAV1,0.098414,0.106989,0.007109,0.010991,0.24562,34
MP12_EMT_1,emt,C1R,0.115528,0.097818,0.006499,0.010047,0.236853,35
MP12_EMT_1,emt,COL4A2,0.100979,0.095985,0.006377,0.00986,0.249365,36
MP12_EMT_1,emt,FSTL1,0.110302,0.100823,0.006699,0.00953,0.217739,37
MP12_EMT_1,emt,CXCL12,0.049274,0.059934,0.003982,0.009273,0.211474,38
MP12_EMT_1,emt,PRSS23,0.159912,0.158572,0.010536,0.008809,0.099386,39
MP12_EMT_1,emt,CTSK,0.04699,0.056461,0.003751,0.008477,0.174978,40
MP12_EMT_1,emt,MMP2,0.049932,0.048946,0.003252,0.007916,0.209132,41
MP12_EMT_1,emt,TGFBI,0.078317,0.079414,0.005276,0.007712,0.213831,42
MP12_EMT_1,emt,COL6A3,0.058342,0.055555,0.003691,0.007421,0.137025,43
MP12_EMT_1,emt,COL4A1,0.055964,0.057316,0.003808,0.006889,0.195546,44
MP12_EMT_1,emt,CCDC80,0.035961,0.042344,0.002813,0.006533,0.176366,45
MP12_EMT_1,emt,TCF4,0.036673,0.036024,0.002394,0.003443,0.10439,46
MP12_EMT_1,emt,SNAI2,0.027713,0.021118,0.001403,0.002818,0.154991,47
MP12_EMT_1,emt,TSC22D3,0.223385,0.22111,0.014691,-0.003794,-0.140427,48
MP13_EMT_2,emt,LGALS1,0.555541,1.15629,0.084225,0.091336,0.562166,1
MP13_EMT_2,emt,MMP7,0.23972,0.489348,0.035645,0.064451,0.469784,2
MP13_EMT_2,emt,VIM,0.586035,1.284394,0.093557,0.059402,0.472556,3
MP13_EMT_2,emt,KRT7,0.582905,1.069658,0.077915,0.057992,0.346715,4
MP13_EMT_2,emt,KRT17,0.283083,0.558486,0.040681,0.055181,0.455438,5
MP13_EMT_2,emt,FN1,0.207413,0.337602,0.024591,0.052263,0.415374,6
MP13_EMT_2,emt,TPM1,0.613372,1.025662,0.07471,0.04534,0.343605,7
MP13_EMT_2,emt,TNFRSF12A,0.35248,0.430203,0.031336,0.040556,0.366004,8
MP13_EMT_2,emt,MT2A,0.65926,1.26186,0.091915,0.038457,0.285526,9
MP13_EMT_2,emt,IL32,0.233742,0.357348,0.02603,0.037005,0.391293,10
MP13_EMT_2,emt,FLNA,0.279926,0.29654,0.0216,0.031888,0.398925,11
MP13_EMT_2,emt,CAVIN3,0.184267,0.20789,0.015143,0.031788,0.43122,12
MP13_EMT_2,emt,LAMB3,0.130936,0.145285,0.010583,0.030721,0.360212,13
MP13_EMT_2,emt,RBP1,0.413347,0.604297,0.044018,0.02775,0.266221,14
MP13_EMT_2,emt,CST6,0.102699,0.123762,0.009015,0.02699,0.352172,15
MP13_EMT_2,emt,ANXA3,0.238954,0.238196,0.01735,0.023821,0.297615,16
MP13_EMT_2,emt,CDKN1A,0.410889,0.597627,0.043532,0.021171,0.181511,17
MP13_EMT_2,emt,RHOD,0.288846,0.265012,0.019304,0.019269,0.222469,18
MP13_EMT_2,emt,PLAUR,0.135826,0.128778,0.00938,0.018655,0.290162,19
MP13_EMT_2,emt,ITGB1,0.427036,0.486936,0.035469,0.017603,0.203175,20
MP13_EMT_2,emt,TNC,0.127188,0.115674,0.008426,0.017005,0.308528,21
MP13_EMT_2,emt,S100A2,0.111551,0.130222,0.009486,0.016398,0.293391,22
MP13_EMT_2,emt,LAMC2,0.087546,0.072476,0.005279,0.01514,0.304853,23
MP13_EMT_2,emt,SERPINE2,0.121224,0.116177,0.008462,0.013003,0.269178,24
MP13_EMT_2,emt,TGM2,0.082683,0.074726,0.005443,0.012961,0.23077,25
MP13_EMT_2,emt,PMEPA1,0.173104,0.134349,0.009786,0.012565,0.191905,26
