# convergence | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,confounder_flags
DR 31-,DR 31,-,FMASC,0.1813,FMASC,0.1813,0.5437651546586442,0.1263349,KEGG_APM,3.4494,0.0003553039208152718,False,True,False,False,stemness,immune,factor_only_candidate_patient_or_technical,depth
DR 32+,DR 32,+,IMMUNOGENIC_CONSENSUS,0.1634,IMMUNOGENIC_CONSENSUS,0.1634,0.4004367789558242,-0.3150898,KEGG_APM,0.7551,0.17575188836859632,False,False,False,False,immune,immune,neither,none
DR 32-,DR 32,-,LIM_STEM,0.0979,LIM_STEM,0.0979,0.5995632210441758,0.3150898,ESC_ASSOU,2.6829,0.0020753913389574864,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 33+,DR 33,+,ESC_WONG,0.0276,ESC_WONG,0.0276,0.4989039697976771,0.059878968,ISDS,1.046,0.0899497581530035,False,False,False,False,stemness,immune,neither,"depth,cell_cycle"
DR 33-,DR 33,-,KEGG_APM,0.0653,KEGG_APM,0.0653,0.5010960302023229,-0.059878968,KEGG_APM,0.0618,0.8673612184014639,False,False,False,False,immune,immune,neither,depth
DR 34+,DR 34,+,ESC_WONG,0.0734,ESC_WONG,0.0734,0.5243463498070269,0.15455005,ESC_ASSOU,1.4792,0.03317416496945389,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 34-,DR 34,-,KEGG_APM,0.0767,KEGG_APM,0.0767,0.4756536501929731,-0.15455005,ISDS,1.046,0.0899497581530035,False,False,False,False,immune,immune,neither,depth
DR 35+,DR 35,+,FMASC,0.115,FMASC,0.115,0.5321678048205385,0.060943924,ESC_ASSOU,1.7457,0.017959738131969185,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 35-,DR 35,-,ISDS,-0.0337,ISDS,-0.0337,0.4678321951794615,-0.060943924,HALLMARK_IFNA,2.7282,0.001869820857736648,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,immune_low_is_absence_of_signal
DR 36+,DR 36,+,FMASC,0.054,FMASC,0.054,0.6171704500590202,0.338987,ESC_ASSOU,1.7457,0.017959738131969185,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 36-,DR 36,-,ISDS,0.5122,ISDS,0.5122,0.38282954994097984,-0.338987,HALLMARK_IFNA,33.8568,1.3905928754654459e-34,True,True,False,True,immune,immune,convergent,none
DR 37+,DR 37,+,LIM_STEM,0.1989,LIM_STEM,0.1989,0.5457064455220149,0.18240815,LIM_STEM,9.709,1.9543394557753964e-10,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,none
DR 37-,DR 37,-,ISDS,0.0551,ISDS,0.0551,0.45429355447798514,-0.18240815,HALLMARK_IFNA,1.0022,0.09949471217509924,False,False,False,False,immune,immune,neither,none
DR 38+,DR 38,+,ESC_WONG,0.0598,ESC_WONG,0.0598,0.6018318810255777,0.3231797,ESC_ASSOU,1.7457,0.017959738131969185,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 38-,DR 38,-,KEGG_APM,0.222,KEGG_APM,0.222,0.3981681189744223,-0.3231797,KEGG_APM,5.1394,7.254374970183976e-06,True,True,True,True,immune,immune,convergent,depth
DR 39+,DR 39,+,FMASC,0.0945,FMASC,0.0945,0.4992218795157499,0.007456172,HALLMARK_IFNG,0.455,0.350751873952568,False,False,False,False,stemness,immune,neither,none
DR 39-,DR 39,-,HALLMARK_IFNA,0.0426,HALLMARK_IFNA,0.0426,0.5007781204842501,-0.007456172,ESC_ASSOU,2.3396,0.004575093773298476,False,True,False,False,immune,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 40+,DR 40,+,ESC_ASSOU,0.2265,ESC_ASSOU,0.2265,0.5718157627170745,0.17685482,ESC_ASSOU,1.2468,0.056650011191953314,True,False,False,False,stemness,stemness,cell_only_state_not_on_one_axis,"depth,cell_cycle"
DR 40-,DR 40,-,LIM_STEM,0.0393,LIM_STEM,0.0393,0.42818423728292554,-0.17685482,HALLMARK_IFNG,0.8325,0.14706184154045604,False,False,False,False,stemness,immune,neither,none
DR 41+,DR 41,+,LIM_STEM,0.0012,LIM_STEM,0.0012,0.492649291530534,0.15974824,ESC_WONG,15.2787,5.263807517745303e-16,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 41-,DR 41,-,ESC_ASSOU,0.1273,ESC_ASSOU,0.1273,0.507350708469466,-0.15974824,ISDS,0.2717,0.5349337509431613,False,False,False,False,stemness,immune,neither,"depth,cell_cycle"
DR 42+,DR 42,+,KEGG_APM,0.1219,KEGG_APM,0.1219,0.4959571033603606,-0.03765124,KEGG_APM,0.7551,0.17575188836859632,False,False,False,False,immune,immune,neither,depth
DR 42-,DR 42,-,ESC_WONG,0.1018,ESC_WONG,0.1018,0.5040428966396394,0.03765124,ESC_ASSOU,0.8325,0.14706184154045604,False,False,False,False,stemness,stemness,neither,"depth,cell_cycle"
DR 43+,DR 43,+,FMASC,0.2014,FMASC,0.2014,0.5871915542772593,0.22991909,ESC_ASSOU,3.4462,0.0003579315655650388,True,True,False,True,stemness,stemness,convergent,none
DR 43-,DR 43,-,HALLMARK_IFNA,0.1318,HALLMARK_IFNA,0.1318,0.41280844572274067,-0.22991909,ISDS,1.046,0.0899497581530035,False,False,False,False,immune,immune,neither,none
DR 44+,DR 44,+,HALLMARK_IFNG,0.0674,HALLMARK_IFNG,0.0674,0.4058639223321332,-0.41822264,HALLMARK_IFNA,0.7087,0.1955689932028923,False,False,False,False,immune,immune,neither,none
DR 44-,DR 44,-,ESC_ASSOU,0.1586,ESC_ASSOU,0.1586,0.5941360776678668,0.41822264,ESC_ASSOU,13.7711,1.69394770966373e-14,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 45+,DR 45,+,EMP,0.0543,EMP,0.0543,0.4915631608235712,-0.008764989,FMASC,2.0537,0.008836901211414566,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,none
DR 45-,DR 45,-,BENPORATH_ES1,0.099,BENPORATH_ES1,0.099,0.5084368391764288,0.008764989,ISDS,1.046,0.0899497581530035,False,False,False,False,stemness,immune,neither,"depth,cell_cycle"
DR 46+,DR 46,+,LIM_STEM,0.1013,LIM_STEM,0.1013,0.5741574909073108,0.38367394,LIM_STEM,2.5186,0.003029702602661417,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,none
DR 46-,DR 46,-,HALLMARK_IFNG,0.1453,HALLMARK_IFNG,0.1453,0.42584250909268917,-0.38367394,HALLMARK_IFNA,2.202,0.0062805835881331795,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,none
DR 47+,DR 47,+,ISDS,0.0593,ISDS,0.0593,0.4991997510240684,0.034482457,HALLMARK_IFNA,0.7087,0.1955689932028923,False,False,False,False,immune,immune,neither,none
DR 47-,DR 47,-,FMASC,0.0195,FMASC,0.0195,0.5008002489759316,-0.034482457,ESC_ASSOU,0.4937,0.3208484902035953,False,False,False,False,stemness,stemness,neither,none
DR 48+,DR 48,+,ESC_WONG,0.0581,ESC_WONG,0.0581,0.5482131246502038,0.15096118,ESC_ASSOU,0.8325,0.14706184154045604,False,False,False,False,stemness,stemness,neither,"depth,cell_cycle"
DR 48-,DR 48,-,HALLMARK_IFNG,0.1577,HALLMARK_IFNG,0.1577,0.4517868753497962,-0.15096118,HALLMARK_IFNG,5.1394,7.254374970183976e-06,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,none
DR 49+,DR 49,+,BENPORATH_ES1,-0.0045,BENPORATH_ES1,-0.0045,0.5209944718785896,-0.0846204,ESC_ASSOU,0.6655,0.21602300347747427,False,False,False,False,stemness,stemness,neither,"depth,cell_cycle"
DR 49-,DR 49,-,LIM_STEM,0.1334,LIM_STEM,0.1334,0.4790055281214104,0.0846204,LIM_STEM,2.5186,0.003029702602661417,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,none
DR 50+,DR 50,+,FMASC,0.1237,FMASC,0.1237,0.5918911740008972,0.21014287,ESC_WONG,0.9443,0.11368417120933065,False,False,False,False,stemness,stemness,neither,none
DR 50-,DR 50,-,HALLMARK_IFNA,0.1991,HALLMARK_IFNA,0.1991,0.4081088259991028,-0.21014287,LIM_STEM,19.9801,1.0468874655490939e-20,False,True,False,False,immune,stemness,factor_only_candidate_patient_or_technical,none
DR 51+,DR 51,+,IMMUNOGENIC_CONSENSUS,0.0419,IMMUNOGENIC_CONSENSUS,0.0419,0.4762130609371152,-0.071651995,HALLMARK_IFNA,0.0967,0.8003869518094971,False,False,False,False,immune,immune,neither,none
DR 51-,DR 51,-,ESC_ASSOU,0.0999,ESC_ASSOU,0.0999,0.5237869390628849,0.071651995,ESC_ASSOU,3.8625,0.00013724609610075625,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 63+,DR 63,+,LIM_STEM,0.0614,LIM_STEM,0.0614,0.4739280431928927,-0.097968765,IMMUNOGENIC_CONSENSUS,0.0967,0.8003869518094971,False,False,False,False,stemness,immune,neither,none
DR 63-,DR 63,-,ESC_ASSOU,0.174,ESC_ASSOU,0.174,0.5260719568071073,0.097968765,ESC_ASSOU,2.6829,0.0020753913389574864,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
