# convergence | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 23-,DR 23,-,MP17_INTERFERON_MHC_II_1,0.3598,MP17_INTERFERON_MHC_II_1,0.3598,MP17_INTERFERON_MHC_II_1,21.7385,1.8259967490749743e-22,True,True,True,True,immune,immune,convergent,False,none
DR 24+,DR 24,+,MP3_CELL_CYCLE_HMG_RICH,0.1077,MP3_CELL_CYCLE_HMG_RICH,0.1077,MP2_CELL_CYCLE_G1_S,1.3627,0.0433810440546589,False,True,False,False,cell_cycle,cell_cycle,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 24-,DR 24,-,MP6_HYPOXIA,0.452,MP6_HYPOXIA,0.452,MP6_HYPOXIA,24.507,3.1117163371060072e-25,True,True,True,True,stress,stress,convergent,False,none
DR 25+,DR 25,+,MP3_CELL_CYCLE_HMG_RICH,0.0938,MP3_CELL_CYCLE_HMG_RICH,0.0938,MP8_PROTEASOMAL_DEGRADATION,0.6543,0.22166646731048242,False,False,False,False,cell_cycle,proteostasis,neither,False,"depth,cell_cycle"
DR 25-,DR 25,-,MP23_SECRETED_2,0.3418,MP23_SECRETED_2,0.3418,MP23_SECRETED_2,9.5602,2.752960626155138e-10,True,True,True,True,secreted,secreted,convergent,False,none
DR 26+,DR 26,+,MP22_SECRETED_1,0.1776,MP22_SECRETED_1,0.1776,MP5_STRESS,5.9727,1.0648783561269637e-06,False,True,False,False,secreted,stress,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 26-,DR 26,-,MP8_PROTEASOMAL_DEGRADATION,0.2744,MP8_PROTEASOMAL_DEGRADATION,0.2744,MP20_MYC,2.1321,0.007377343409610298,True,True,False,False,proteostasis,metabolic,both_routes_different_family,False,none
DR 27+,DR 27,+,MP21_RESPIRATION,0.0745,MP21_RESPIRATION,0.0745,MP14_EMT_3,1.4269,0.03741967403366643,False,True,False,False,metabolic,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 27-,DR 27,-,MP17_INTERFERON_MHC_II_1,0.5126,MP17_INTERFERON_MHC_II_1,0.5126,MP17_INTERFERON_MHC_II_1,26.6813,2.083051465021745e-27,True,True,True,True,immune,immune,convergent,False,none
DR 28+,DR 28,+,MP5_STRESS,0.2972,MP5_STRESS,0.2972,MP5_STRESS,13.2056,6.228737089440282e-14,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 28-,DR 28,-,MP8_PROTEASOMAL_DEGRADATION,0.2187,MP8_PROTEASOMAL_DEGRADATION,0.2187,MP14_EMT_3,13.6089,2.4609341899525838e-14,True,True,False,False,proteostasis,emt,both_routes_different_family,False,none
DR 29+,DR 29,+,MP13_EMT_2,0.3863,MP13_EMT_2,0.3863,MP13_EMT_2,19.8848,1.3037670471382181e-20,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 29-,DR 29,-,MP38_GLUTATHIONE,0.0916,MP38_GLUTATHIONE,0.0916,MP25_ASTROCYTES,1.1865,0.06508786108404092,False,False,False,False,detoxification,neural,neither,False,none
DR 30+,DR 30,+,MP5_STRESS,0.2033,MP5_STRESS,0.2033,MP5_STRESS,15.7221,1.8962692388100006e-16,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 30-,DR 30,-,MP38_GLUTATHIONE,0.1158,MP38_GLUTATHIONE,0.1158,MP23_SECRETED_2,4.621,2.393315756405385e-05,False,True,False,False,detoxification,secreted,factor_only_candidate_patient_or_technical,False,none
DR 31+,DR 31,+,MP14_EMT_3,0.1957,MP14_EMT_3,0.1957,MP14_EMT_3,13.6089,2.4609341899525838e-14,False,True,False,False,emt,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 31-,DR 31,-,MP10_PROTEIN_MATURATION,0.1336,MP10_PROTEIN_MATURATION,0.1336,MP17_INTERFERON_MHC_II_1,3.4804,0.00033082627885569786,False,True,False,False,proteostasis,immune,factor_only_candidate_patient_or_technical,False,none
DR 32+,DR 32,+,MP23_SECRETED_2,0.3379,MP23_SECRETED_2,0.3379,MP23_SECRETED_2,8.5967,2.5310457771974365e-09,True,True,True,True,secreted,secreted,convergent,False,none
DR 32-,DR 32,-,MP20_MYC,0.1064,MP20_MYC,0.1064,MP14_EMT_3,1.8782,0.013237317937881932,False,True,False,False,metabolic,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 33+,DR 33,+,MP22_SECRETED_1,0.0647,MP22_SECRETED_1,0.0647,MP14_EMT_3,5.1287,7.435325746482752e-06,False,True,False,False,secreted,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 33-,DR 33,-,MP10_PROTEIN_MATURATION,0.1197,MP10_PROTEIN_MATURATION,0.1197,MP23_SECRETED_2,3.9528,0.00011148078033638425,False,True,False,False,proteostasis,secreted,factor_only_candidate_patient_or_technical,False,none
DR 34+,DR 34,+,MP3_CELL_CYCLE_HMG_RICH,0.0723,MP3_CELL_CYCLE_HMG_RICH,0.0723,MP14_EMT_3,6.865,1.3645831365889239e-07,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 34-,DR 34,-,MP10_PROTEIN_MATURATION,0.1097,MP10_PROTEIN_MATURATION,0.1097,MP17_INTERFERON_MHC_II_1,2.3167,0.004822808303816475,False,True,False,False,proteostasis,immune,factor_only_candidate_patient_or_technical,False,none
DR 35+,DR 35,+,MP3_CELL_CYCLE_HMG_RICH,0.1216,MP3_CELL_CYCLE_HMG_RICH,0.1216,MP14_EMT_3,2.391,0.004064433291652128,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 35-,DR 35,-,MP7_STRESS_IN_VITRO,0.3363,MP7_STRESS_IN_VITRO,0.3363,MP7_STRESS_IN_VITRO,13.8605,1.3787959529688574e-14,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 36+,DR 36,+,MP11_TRANSLATION_INITIATION,0.0927,MP11_TRANSLATION_INITIATION,0.0927,MP20_MYC,3.4854,0.0003270393417566396,False,True,False,False,proteostasis,metabolic,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 36-,DR 36,-,MP17_INTERFERON_MHC_II_1,0.4469,MP17_INTERFERON_MHC_II_1,0.4469,MP17_INTERFERON_MHC_II_1,20.2224,5.992389025834776e-21,True,True,True,True,immune,immune,convergent,False,none
DR 37+,DR 37,+,MP12_EMT_1,0.2793,MP12_EMT_1,0.2793,MP14_EMT_3,9.9163,1.212550960571487e-10,True,True,False,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
