# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP25_ASTROCYTES,MP33_RBCS,MP36_IG,MP41_UNASSIGNED
DR 59,0.0,-0.7445,0.0,-0.0,-0.5948,-0.2744,0.1429,0.0,-2.6666,-0.1429,0.2997,0.1703,2.391,-2.181,-2.8752,-4.8328,2.8646,0.5309,0.4893,0.5732,1.2377,-0.4543,-1.1038,-1.1865,0.2744,-0.0,0.0
DR 53,0.0,0.2997,0.0,-0.056,0.5948,0.2744,0.1429,0.0,0.7661,0.1429,-0.1488,-0.0,-2.9832,1.2986,4.1207,5.5885,-1.3588,-0.5309,-0.4893,0.5732,-2.6361,-0.0,0.5502,-1.5791,0.0656,-0.0,0.0
DR 50,0.1728,1.3519,-0.2139,-3.7093,-0.3513,0.5732,0.1429,0.0,0.1215,0.1429,-3.6985,-7.7508,1.0464,-5.546,-5.5885,-8.1773,0.6821,0.5309,0.0,0.5732,-5.3514,-1.0971,0.3513,-3.9316,-0.9835,-0.0,-0.0359
DR 1,-0.0,0.0359,-0.2139,-18.3964,0.9134,-1.473,0.6543,0.0,1.9056,-0.1429,3.6985,0.5688,1.8782,0.939,0.7597,8.1773,-0.9912,0.5309,0.4893,0.2744,5.3514,-4.0641,-1.1038,6.4204,0.0656,0.0,-0.7445
DR 9,0.6469,0.7445,-1.8598,-2.5258,0.9134,0.9835,1.4307,0.4893,-0.3979,0.1429,0.1488,1.1865,6.865,-0.6471,1.8507,1.4269,0.2291,1.187,0.4893,-0.0,0.1928,0.2139,-0.1893,1.5791,0.5732,-0.0,-2.1467
DR 34,0.0427,-0.7445,0.0,-2.0173,-0.5948,-0.9835,-0.6543,-0.4893,-1.9056,0.1429,1.0119,4.4231,6.865,0.0713,-2.3167,-1.4269,-1.7917,0.5309,-0.4893,-0.5732,0.6,-0.0633,0.5502,0.5309,-0.0,-0.0727,-0.0359
DR 15,0.0,0.2997,0.0,0.056,-0.9134,0.2744,0.6543,0.0,0.3979,0.1429,-11.0358,-1.1865,4.3505,-1.2986,0.5053,-1.8507,0.6821,0.1092,-0.4893,0.2744,-1.2377,0.0633,0.1893,-2.0672,-2.8602,-0.0,-0.0359
DR 58,0.0,0.2997,0.2139,1.1865,-1.7471,0.5732,-0.6543,0.0,0.7661,1.4307,-2.1321,-0.8369,-6.865,0.939,0.2979,-2.8752,0.0829,1.187,0.4893,0.5732,-3.2137,0.0633,0.7928,-1.5791,0.0656,-0.0,0.0359
DR 35,-0.1728,0.2997,0.2139,-5.9727,-1.7471,-13.8605,-1.4307,-0.4893,-0.7661,0.1429,0.1488,0.8369,2.391,-0.4015,0.7597,0.5053,0.4331,0.5309,0.4893,0.2744,2.1098,-2.0505,0.1893,0.7986,-0.0656,-0.4893,0.0359
DR 7,2.3814,2.1467,-0.8144,-1.5624,1.2986,1.473,0.6543,0.4893,0.1215,0.6543,0.2997,0.5688,7.8123,-0.0,1.8507,2.3167,0.0829,1.187,0.4893,0.0656,1.6312,-0.0633,-0.1893,0.5309,0.5732,-0.0,-1.3519
DR 39,-3.0093,-0.2997,0.0,23.0344,-0.5948,-2.8602,-0.6543,0.4893,-4.6497,-0.6543,-0.2997,0.8369,1.0464,-1.2986,-1.0721,-0.7597,1.3588,-1.187,0.0,-0.5732,0.3701,12.9558,-0.7928,-0.5309,0.2744,-0.0,0.0359
